Run,Elapsed Time (ns)
1,15818621371
2,15699650748
3,15742856618
4,16431502506
5,19652695004
6,19373600556
7,19468386369
8,19711637419
9,19130071745
10,19360520466
11,19334661595
12,19626537199
13,19547747423
14,20060676685
15,19089271151
16,18642646836
17,18550133879
18,18605993996
19,18794896272
20,18693260056
21,18742034126
22,18541150668
23,18816503783
24,
25,18515785803
26,19210085716
27,18738835872
28,18460797569
29,18610122377
30,18662703156
31,18634380922
32,18700353461
33,18556911473
34,18605012330
35,18960134805
36,19041673784
37,19923275289
38,20080452397
39,19488622625
40,19242166954
41,19689581421
42,19847597586
43,19480692816
44,20710373763
45,19348625714
46,19021267502
47,18905482497
48,18723634369
49,18697297154
50,18749428012
